role,title,company,sql,excel,power bi,tableau,python,statistics,data analytics,machine learning,data visualization,etl,communication,problem solving
data-science,project executive - ai data services,consultbae,0,0,0,0,0,0,0,0,0,0,1,0
data-science,data science,she can foundation,1,0,0,0,1,0,1,1,0,0,0,0
data-science,ai web development,basti ki pathshala foundation,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,career-domain,1,1,1,1,1,0,1,0,1,0,0,0
data-science,forward deployed engineer trainee (slms),bp optima pte. ltd.,0,0,0,0,1,0,0,1,0,0,0,0
data-science,python development,infoware,0,0,0,0,1,0,0,0,0,0,0,0
data-science,ai agent development,"tzuroni ltd. (kefar sava, israel)",0,0,0,0,1,0,0,0,0,0,0,0
data-science,ai academic coordinator,referencified tech private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data entry & annotation,singularium technologies private limited,0,1,0,0,0,0,0,0,0,0,1,1
data-science,"software developer – dashboard, ai/llm & automation",metnmat research,1,0,0,0,0,0,0,0,0,0,0,0
data-science,business analytics,isourse,1,1,0,0,0,0,1,0,0,0,0,1
data-science,artificial intelligence (ai),goodwind technologies private limited,0,0,0,0,1,0,0,1,0,0,0,0
data-science,ai prompt engineer,maxgen technologies private limited,0,0,0,0,0,0,0,1,0,0,0,0
data-science,ai robotics trainer,klassway,0,0,0,0,1,0,0,1,0,0,0,0
data-science,data analytics,apex i soft technologies private limited,1,1,1,1,1,0,1,0,0,0,0,0
data-science,ai video gen artist,sas group,0,0,0,0,0,0,0,0,0,0,0,0
data-science,ai research marketing,pelvaan (ultimalabs private limited),0,0,0,0,1,0,0,0,0,0,0,0
data-science,ai/ml instructor,selfcode academy,0,0,0,0,1,0,0,1,0,0,0,0
data-science,ai/machine learning teaching trainer,amigo academy private limited,1,0,0,0,1,0,0,1,0,0,1,0
data-science,prompt engineering & operations (voice ai),anvex ai technologies,0,1,0,0,0,0,0,0,0,0,1,0
